n,matrix,list(binary)
10,4.1961669921875e-05,2.6941299438476562e-05
50,0.0006260871887207031,0.00041484832763671875
90,0.0019059181213378906,0.0016930103302001953
130,0.004067182540893555,0.0034008026123046875
170,0.006860017776489258,0.0054509639739990234
210,0.010289907455444336,0.008222341537475586
250,0.014735937118530273,0.013514041900634766
290,0.02025890350341797,0.01630687713623047
330,0.02637195587158203,0.0227048397064209
370,0.03390908241271973,0.029792070388793945
410,0.04188203811645508,0.03303408622741699
450,0.05020594596862793,0.04328131675720215
490,0.06044793128967285,0.05558300018310547
530,0.07236313819885254,0.0625920295715332
570,0.08122611045837402,0.06848526000976562
610,0.09557294845581055,0.08791303634643555
650,0.10927295684814453,0.09650802612304688
690,0.12571477890014648,0.11377692222595215
730,0.13786602020263672,0.12092208862304688
770,0.15375590324401855,0.146575927734375
810,0.17131376266479492,0.14820003509521484
850,0.19115805625915527,0.18251967430114746
890,0.21236824989318848,0.2011547088623047
930,0.22891592979431152,0.22826027870178223
970,0.24869394302368164,0.22642183303833008
1010,0.27178382873535156,0.2369859218597412
1050,0.2923619747161865,0.2791171073913574
1090,0.31316208839416504,0.30556201934814453
1130,0.33861589431762695,0.30877113342285156
1170,0.36723780632019043,0.35457396507263184
1210,0.38832902908325195,0.3485109806060791
1250,0.4134819507598877,0.3898921012878418
1290,0.4440310001373291,0.4407517910003662
1330,0.47465085983276367,0.49326491355895996
1370,0.5065121650695801,0.49616384506225586
1410,0.5328106880187988,0.5247831344604492
1450,0.567755937576294,0.5429880619049072
1490,0.5990562438964844,0.6441848278045654
1530,0.6274409294128418,0.5994529724121094
1570,0.6644647121429443,0.6144640445709229
1610,0.6954669952392578,0.6637110710144043
1650,0.7357070446014404,0.7184107303619385
1690,0.7778820991516113,0.7366106510162354
1730,0.8217790126800537,0.772454023361206
1770,0.8462121486663818,0.825390100479126
1810,0.8958661556243896,0.8279619216918945
1850,0.9572279453277588,0.9583628177642822
1890,1.0054521560668945,0.9125008583068848
1930,1.023843765258789,1.0425159931182861
1970,1.1033172607421875,1.020369291305542
2010,1.1243500709533691,1.1152238845825195
2050,1.164513111114502,1.1247928142547607
2090,1.2311930656433105,1.110198974609375
2130,1.3114702701568604,1.2232041358947754
2170,1.516066074371338,1.285473108291626
2210,1.349207878112793,1.2984719276428223
2250,1.390570878982544,1.3742022514343262
2290,1.5088248252868652,1.4883670806884766
2330,1.4821698665618896,1.4340200424194336
2370,1.5588338375091553,1.5112700462341309
2410,1.6351430416107178,1.5448858737945557
2450,1.6626858711242676,1.5738060474395752
2490,1.7121238708496094,1.7251620292663574
2530,1.8747859001159668,1.6668150424957275
2570,2.0815696716308594,1.7680890560150146
2610,1.9507298469543457,1.7543489933013916
2650,2.2262728214263916,1.8136639595031738
2690,2.3083808422088623,1.9302101135253906
2730,2.18306565284729,1.9692559242248535
2770,2.41682505607605,1.9776430130004883
2810,2.429474115371704,1.9811992645263672
2850,2.6299712657928467,2.1070611476898193
2890,2.5484931468963623,2.1649169921875
2930,2.4373040199279785,2.2992446422576904
2970,2.6473050117492676,2.3343160152435303
3010,2.887058973312378,2.545555830001831
3050,2.9454469680786133,2.48284912109375
3090,3.106940984725952,2.471189022064209
3130,3.216002941131592,2.5370280742645264
3170,3.053056001663208,2.622434139251709
3210,3.922536849975586,2.6235320568084717
3250,3.336695671081543,2.8398351669311523
3290,3.6888480186462402,3.085141181945801
3330,3.70145583152771,3.0440869331359863
3370,3.6901018619537354,2.932241201400757
3410,3.605348825454712,3.1344590187072754
3450,3.9363961219787598,3.1084651947021484
3490,4.857702732086182,3.203660011291504
3530,4.261518239974976,3.4634690284729004
3570,4.306590795516968,3.5363669395446777
3610,4.365060091018677,3.709273099899292
3650,7.44561505317688,3.866071939468384
3690,4.620310068130493,83.63850212097168
3730,4.913443088531494,4.387722969055176
3770,4.887920141220093,4.544407844543457
3810,4.870659112930298,4.728220701217651
3850,5.045405149459839,4.57230806350708
3890,5.344702959060669,5.2497398853302
3930,5.351143836975098,5.121822834014893
3970,157.5061218738556,5.759761095046997
4010,5.3589630126953125,5.35210394859314
4050,5.543985843658447,5.124950170516968
4090,5.736968994140625,5.275512218475342
4130,5.990242004394531,5.694643974304199
4170,6.182701826095581,6.3793840408325195
4210,6.170178174972534,6.2013161182403564
4250,6.391804218292236,6.20718789100647
4290,6.579493045806885,7.162041187286377
4330,6.923619270324707,7.5012030601501465
4370,7.42366099357605,7.335753917694092
4410,6.813858985900879,6.838971853256226
4450,6.931922912597656,6.742479085922241
4490,7.243175983428955,7.303427696228027
4530,7.236187934875488,6.930716037750244
4570,7.368038892745972,7.775114059448242
4610,7.5156090259552,7.520074129104614
4650,8.011793851852417,8.381637811660767
4690,8.235164165496826,8.684185981750488
4730,8.283536195755005,8.611401081085205
4770,11.644232034683228,8.524724006652832
4810,8.499675035476685,8.654501914978027
4850,8.808345079421997,9.128490209579468
4890,8.52215576171875,8.645868062973022
4930,8.680768966674805,8.89468789100647
4970,8.87546706199646,9.091840744018555
