n,matrix,list(binary),list(fibo)
3,1.1920928955078125e-05,7.867813110351562e-06,2.3126602172851562e-05
13,5.698204040527344e-05,3.0994415283203125e-05,8.797645568847656e-05
23,0.0001380443572998047,7.319450378417969e-05,0.00023102760314941406
33,0.00027298927307128906,0.00017595291137695312,0.0004639625549316406
43,0.00045371055603027344,0.0002791881561279297,0.0007040500640869141
53,0.0006997585296630859,0.0004971027374267578,0.0011310577392578125
63,0.0009930133819580078,0.0007588863372802734,0.0016269683837890625
73,0.0013701915740966797,0.0011529922485351562,0.002129077911376953
83,0.001608133316040039,0.0012011528015136719,0.0026197433471679688
93,0.002164125442504883,0.0016756057739257812,0.002834320068359375
103,0.0026297569274902344,0.0017702579498291016,0.003078937530517578
113,0.0030281543731689453,0.0026531219482421875,0.004584074020385742
123,0.0035948753356933594,0.0033779144287109375,0.005445241928100586
133,0.004251956939697266,0.0038912296295166016,0.005941152572631836
143,0.004897594451904297,0.0045092105865478516,0.007520914077758789
153,0.005485057830810547,0.005460023880004883,0.008294105529785156
163,0.006172895431518555,0.005038738250732422,0.008754253387451172
173,0.0067310333251953125,0.006692647933959961,0.009137153625488281
183,0.007909297943115234,0.007776021957397461,0.011804819107055664
193,0.008901119232177734,0.007682085037231445,0.011871814727783203
203,0.009498119354248047,0.008266925811767578,0.011197090148925781
213,0.010516166687011719,0.009293079376220703,0.014575958251953125
223,0.011426925659179688,0.009531021118164062,0.013255834579467773
233,0.012914180755615234,0.010685205459594727,0.014750003814697266
243,0.01341390609741211,0.01265096664428711,0.015360116958618164
253,0.014925956726074219,0.013710975646972656,0.018014907836914062
263,0.015992164611816406,0.014806985855102539,0.018157005310058594
273,0.017534971237182617,0.015298128128051758,0.019552946090698242
283,0.01872110366821289,0.01680588722229004,0.019819974899291992
293,0.019966840744018555,0.018329143524169922,0.023373126983642578
303,0.021649837493896484,0.019512176513671875,0.02239084243774414
313,0.022987842559814453,0.02072310447692871,0.03026294708251953
323,0.024855852127075195,0.02056288719177246,0.025056123733520508
333,0.026385068893432617,0.02207183837890625,0.026598215103149414
343,0.028359174728393555,0.0228269100189209,0.028318166732788086
353,0.030208110809326172,0.02683115005493164,0.037214040756225586
363,0.03132891654968262,0.02759408950805664,0.03719615936279297
373,0.03293418884277344,0.028355836868286133,0.03548407554626465
383,0.035327911376953125,0.030874013900756836,0.03572416305541992
393,0.03726601600646973,0.03381991386413574,0.044275760650634766
403,0.039834022521972656,0.03221416473388672,0.037458181381225586
413,0.04094099998474121,0.03834128379821777,0.04299211502075195
423,0.04445004463195801,0.03506779670715332,0.042037010192871094
433,0.045420169830322266,0.03785204887390137,0.04462790489196777
443,0.048261165618896484,0.040686845779418945,0.05065011978149414
453,0.04912996292114258,0.04330301284790039,0.04843497276306152
463,0.052390098571777344,0.046767234802246094,0.05364203453063965
473,0.05392789840698242,0.05147910118103027,0.05440521240234375
483,0.05728793144226074,0.04907965660095215,0.056973934173583984
493,0.05991721153259277,0.047888994216918945,0.06405210494995117
