n, HybridSort
1000,4642
2000,11053
3000,16539
4000,25408
5000,31771
6000,38619
7000,51458
8000,58398
9000,66290
10000,72781
11000,80441
12000,87395
13000,104934
14000,115820
15000,123756
16000,132807
17000,141296
18000,148938
19000,157172
20000,165907
21000,173656
22000,182293
23000,190971
24000,200131
25000,207377
26000,235934
27000,250045
28000,259526
29000,269523
30000,278657
31000,287253
32000,296525
33000,305673
34000,315264
35000,325064
36000,333944
37000,343030
38000,353672
39000,362342
40000,372508
41000,381612
42000,389242
43000,398996
44000,408007
45000,416572
46000,425839
47000,436273
48000,446274
49000,455103
50000,464572
51000,473538
52000,523673
53000,543956
54000,553205
55000,564213
56000,573680
57000,584711
58000,594281
59000,605264
60000,616215
61000,627451
62000,635023
63000,645454
64000,657328
65000,666447
66000,677124
67000,687555
68000,699254
69000,706716
70000,717792
71000,727236
72000,739249
73000,748537
74000,759777
75000,767629
76000,780749
77000,791270
78000,800838
79000,810131
80000,821229
81000,830462
82000,840788
83000,850315
84000,861734
85000,874360
86000,881079
87000,892821
88000,902535
89000,913564
90000,921883
91000,931917
92000,943708
93000,953844
94000,963244
95000,976099
96000,983619
97000,997058
98000,1006060
99000,1015886
100000,1027884
