s, numComparisons, 
0,717878, 
1,709304, 
2,699194, 
3,698440, 
4,698542, 
5,698429, 
6,699115, 
7,698980, 
8,699512, 
9,698937, 
10,699164, 
11,724238, 
12,732374, 
13,732351, 
14,732028, 
15,732406, 
16,732563, 
17,732537, 
18,732375, 
19,732680, 
20,732595, 
21,733465, 
22,732253, 
23,792498, 
24,839166, 
25,838212, 
26,837909, 
27,838128, 
28,838235, 
29,838496, 
30,838783, 
31,836573, 
32,838655, 
33,838600, 
34,838379, 
35,839418, 
36,838345, 
37,837962, 
38,839614, 
39,837938, 
40,838019, 
41,838103, 
42,838138, 
43,838132, 
44,838407, 
45,838767, 
46,839048, 
47,879550, 
48,1097527, 
49,1096556, 
50,1097118, 
51,1096575, 
52,1095279, 
53,1096858, 
54,1096039, 
55,1101788, 
56,1098462, 
57,1093740, 
58,1095215, 
59,1097331, 
60,1095353, 
61,1094716, 
62,1096044, 
63,1095901, 
64,1094634, 
65,1091727, 
66,1091730, 
67,1093952, 
68,1098392, 
69,1097115, 
70,1094642, 
71,1091870, 
72,1093925, 
73,1098293, 
74,1096400, 
75,1093938, 
76,1095809, 
77,1092550, 
78,1095864, 
79,1096561, 
80,1094199, 
81,1095155, 
82,1096645, 
83,1097148, 
84,1097150, 
85,1098581, 
86,1099527, 
87,1099014, 
88,1096283, 
89,1096802, 
90,1093726, 
91,1097043, 
92,1096321, 
93,1096605, 
94,1096726, 
95,1095058, 
96,1286216, 
97,1648931, 
98,1655656, 
99,1657309, 
100,1657038, 
101,1656295, 
102,1656872, 
103,1659394, 
104,1653857, 
105,1659689, 
106,1660654, 
107,1653576, 
108,1654299, 
109,1661502, 
110,1656222, 
111,1657966, 
112,1657190, 
113,1655305, 
114,1656391, 
115,1649338, 
116,1660368, 
117,1655708, 
118,1656140, 
119,1656203, 
120,1654843, 
121,1654405, 
122,1665521, 
123,1657484, 
124,1666952, 
125,1665701, 
126,1660134, 
127,1661775, 
128,1664482, 
129,1659553, 
130,1659875, 
131,1659163, 
132,1658930, 
133,1660120, 
134,1654229, 
135,1653200, 
136,1662701, 
137,1654470, 
138,1660266, 
139,1654899, 
140,1652558, 
141,1664566, 
142,1654914, 
143,1657632, 
144,1648525, 
145,1656142, 
146,1654010, 
147,1661736, 
148,1656600, 
149,1664526, 
150,1659391, 
151,1653249, 
152,1657157, 
153,1657678, 
154,1652697, 
155,1661663, 
156,1664591, 
157,1661337, 
158,1667241, 
159,1660727, 
160,1657760, 
161,1657561, 
162,1652998, 
163,1653812, 
164,1652518, 
165,1658528, 
166,1652647, 
167,1660172, 
168,1658148, 
169,1653179, 
170,1656082, 
171,1655085, 
172,1660080, 
173,1661025, 
174,1652459, 
175,1653116, 
176,1655496, 
177,1648830, 
178,1657586, 
179,1656847, 
180,1657437, 
181,1662845, 
182,1652642, 
183,1657561, 
184,1654043, 
185,1659536, 
186,1663495, 
187,1663849, 
188,1658638, 
189,1652947, 
190,1658999, 
191,1656538, 
192,1654748, 
193,1661170, 
194,2458176, 
195,2823931, 
196,2821478, 
197,2824482, 
198,2816533, 
199,2826054, 
200,2831293, 
